"","value"
"260","EMB_BAHA"
"261","ELA_EVEL"
"262","DEC_SPE."
"263","EMB_PAND"
"264","HET_LONG"
"265","BEL_SPE."
"266","HAL_CAUD"
"267","SCO_CAVA"
"268","HAL_SPE."
"269","GER_SPE."
"270","LAG_RHOM"
"271","LUT_CYAN"
"272","PHA_XENU"
"273","CHL_CHRY"
"274","UNK_SPE."
"275","NEG_BREV"
"276","MYC_INTE"
"277","CAR_LIMB"
"278","ANT_OCEL"
"279","LAB_NIGR"
"280","PAG_PAGR"
"281","SYA_MICR"
"282","CEN_ARGI"
"283","STR_SPE."
"284","RAC_CANA"
"285","ENG_SPE."
"286","GAL_CUVI"
"287","ARI_BALE"
"288","PAR_NIGR"
"289","IST_PLAT"
"290","CEN_STRI"
"291","MIC_SPE."
"292","SCH_BETA"
"293","GYM_SAXI"
"294","HIP_EREC"
"295","STE_SETI"
"296","ECH_CATE"
"297","HIP_REID"
"298","PLA_ORBI"
"299","EMM_ATLA"
"300","LAB_KALI"
"301","COR_LIPE"
"302","COS_ELUC"
"303","HIP_SPE."
"304","APO_QUAD"
"305","CHA_OCLL"
"306","CEN_AURA"
"307","TRI_SPE."
"308","OGC_NASU"
"309","GOB_GROS"
"310","Other1"
"311","CAL_PENA"
"312","ACA_SOLA"
"313","UPE_PARV"
"314","OPH_OPHI"
"315","MYC_ACUT"
"316","SER_ANNU"
"317","ANC_LYOL"
"318","MUG_CEPH"
"319","SAR_SARD"
"320","ELA_RAND"
"321","AST_GUTT"
"322","PRI_HIPO"
"323","HYP_GUTT"
"324","STE_HISP"
"325","ABL_HIAN"
"326","ELA_CHAN"
"327","SEL_VOME"
"328","MAL_BOEH"
"329","TRA_GOOD"
"330","LIO_EUKR"
"331","HYP_BERM"
"332","SAR_BULL"
"333","AST_STEL"
"334","PEP_TRIA"
"335","CEN_OCYU"
"336","SPH_PICU"
"337","SPH_TIBU"
"338","Other2"
"339","SYN_DAWS"
"340","EUC_MELA"
"341","OPH_SPE."
"342","SER_PUMI"
"343","SYN_SCOV"
"344","EMB_SPE."
"345","SCR_SPE."
"346","PAR_MARN"
"347","ELO_SAUR"
"348","EUC_LEFR"
"349","LIO_MOWB"
"350","ELA_LOUI"
"351","MIC_SIGN"
"352","LAB_GOBI"
"353","RHO_AURO"
"354","GYM_NIGR"
"355","SPH_NEPH"
"356","LOP_CYPR"
"357","DIP_BIVI"
"358","SER_SPE."
"359","PLA_ARGA"
"360","ALB_VULP"
"361","ENN_ALTI"
"362","MAL_VERS"
"363","COR_VENE"
"364","HAL_BURE"
"365","CHI_SCHO"
"366","LAB_SPE."
"367","Other3"
"368","CAN_SPE."
"369","SYN_SAUR"
"370","EPI_DRUM"
"371","HYP_GUMM"
"372","RHI_BONA"
"373","RHI_LENT"
"374","DOR_MEGA"
"375","OPI_MAXI"
"376","BOT_SPE."
"377","ENN_SPE."
"378","CHA_LIMB"
"379","NO_FISH"
"380","SER_FLAV"
"381","NEO_MARI"
"382","MYC_TIGR"
"383","SPH_MOKA"
"384","RIS_RUBE"
"385","EUC_JONE"
"386","GRA_LORE"
"387","SER_SUBL"
"388","SER_ZONA"
"389","POM_SPE."
"390","STR_TIMU"
"391","LON_MICR"
"392","COR_TORT"
