ID_SURV,ID_SITE,DATE,SPECIES_CODE,NO,DENSITY,MIN_LEN,AVE_LEN,MAX_LEN,SOURCE,x,y
M52_4170_2016,M52_4170,2016-2,ABU_SAXA,1,1.6666666666666667,5.08,5.08,5.08,MVS,566403.0762129104,2820190.811308342
L13_4740_2018,L13_4740,2018-2,ABU_SAXA,1,1.6666666666666667,7.62,7.62,7.62,MVS,581385.2891508045,2820778.5857382286
M47_5906_2022,M47_5906,2022-2,ABU_SAXA,2,3.3333333333333335,2.54,3.81,5.08,MVS,566963.3059392786,2821112.7762218565
L00_4921_2018,L00_4921,2018-8,ABU_SAXA,3,5,5.08,5.08,7.62,MVS,577555.583001305,2809735.549545107
M36_4190_2016,M36_4190,2016-3,ABU_SAXA,3,5,5.08,5.08,7.62,MVS,568994.234558091,2824649.2027580882
L17_5924_2022,L17_5924,2022-3,ABU_SAXA,3,5,2.54,5.08,7.62,MVS,581925.1386268812,2818787.3244846845
M104_6007_2022,M104_6007,2022-8,ABU_SAXA,3,5,7.62,7.62,10.16,MVS,563319.8179043632,2800294.457601468
M34_6012_2022,M34_6012,2022-8,ABU_SAXA,1,1.6666666666666667,5.08,5.08,5.08,MVS,569071.3013015982,2825483.5088440753
M92_4819_2018,M92_4819,2018-7,ABU_SAXA,5,8.333333333333332,5.08,5.08,7.62,MVS,569622.2603805633,2807416.330139127
L03_4229_2016,L03_4229,2016-4,ABU_SAXA,1,1.6666666666666667,10.16,10.16,10.16,MVS,579245.1709716711,2810636.909238903
M86_5885_2022,M86_5885,2022-1,ABU_SAXA,2,3.3333333333333335,2.54,3.81,5.08,MVS,567692.3237909117,2809488.4270161833
L14_3826_2014,L14_3826,2014-9,ABU_SAXA,1,1.6666666666666667,NA,2.54,NA,MVS,581414.8657313962,2820542.874216247
L05_4339_2016,L05_4339,2016-7,ABU_SAXA,3,5,5.08,5.08,7.62,MVS,579402.3533637766,2811780.729890911
M104_4797_2018,M104_4797,2018-3,ABU_SAXA,1,1.6666666666666667,5.08,5.08,5.08,MVS,563318.795780718,2800297.775002996
L08_4234_2016,L08_4234,2016-4,ABU_SAXA,1,1.6666666666666667,7.62,7.62,7.62,MVS,580049.2532672879,2813430.253926897
L20_3890_2014,L20_3890,2014-10,ABU_SAXA,1,1.6666666666666667,NA,5.08,NA,MVS,580797.5430542354,2815579.894295432
L15_5921_2022,L15_5921,2022-3,ABU_SAXA,1,1.6666666666666667,7.62,7.62,7.62,MVS,582306.6023849279,2819525.0265998994
M64_5816_2022,M64_5816,2022-1,ABU_SAXA,1,1.6666666666666667,5.08,5.08,5.08,MVS,566636.500608754,2815899.566183816
M107_4834_2018,M107_4834,2018-7,ABU_SAXA,1,1.6666666666666667,5.08,5.08,5.08,MVS,562705.6719290217,2798595.054159068
L17_4744_2018,L17_4744,2018-2,ABU_SAXA,3,5,5.08,5.08,7.62,MVS,581927.1896463052,2818780.6922141644
N04_4276_2016,N04_4276,2016-7,ABU_SAXA,10,16.666666666666664,2.54,5.08,7.62,MVS,582523.4642042631,2822226.0182357794
L05_5930_2022,L05_5930,2022-3,ABU_SAXA,5,8.333333333333332,1.905,2.54,5.08,MVS,579403.3459547609,2811782.95067176
M83_4874_2018,M83_4874,2018-7,ABU_SAXA,1,1.6666666666666667,7.62,7.62,7.62,MVS,567778.2224334847,2810605.142958952
M67_4940_2018,M67_4940,2018-8,ABU_SAXA,1,1.6666666666666667,5.08,5.08,5.08,MVS,567303.4720288909,2815019.170693368
L09_4748_2018,L09_4748,2018-2,ABU_SAXA,2,3.3333333333333335,5.08,5.08,5.08,MVS,580241.4320682585,2813916.469380771
L14_4741_2018,L14_4741,2018-2,ABU_SAXA,1,1.6666666666666667,7.62,7.62,7.62,MVS,581427.7964056233,2820565.1023747753
L11_4738_2018,L11_4738,2018-2,ABU_SAXA,3,5,7.62,7.62,10.16,MVS,582588.9957586877,2821812.5957179614
L11_4277_2016,L11_4277,2016-7,ABU_SAXA,3,5,5.08,7.62,10.16,MVS,582581.3686999783,2821799.997193766
L17_4331_2016,L17_4331,2016-7,ABU_SAXA,1,1.6666666666666667,5.08,5.08,5.08,MVS,581928.1202513378,2818792.880090315
L03_4918_2018,L03_4918,2018-8,ABU_SAXA,2,3.3333333333333335,5.08,6.35,7.62,MVS,579228.1702690716,2810790.7448175983
L12_4239_2016,L12_4239,2016-4,ABU_SAXA,4,6.666666666666667,7.62,7.62,7.62,MVS,582137.4065494788,2821379.005396389
L10_5950_2022,L10_5950,2022-8,ABU_SAXA,4,6.666666666666667,2.54,5.08,7.62,MVS,580443.8927197086,2814530.1080218414
M104_5913_2022,M104_5913,2022-2,ABU_SAXA,1,1.6666666666666667,7.62,7.62,7.62,MVS,563318.7905808955,2800298.8823789377
N04_3822_2014,N04_3822,2014-9,ABU_SAXA,3,5,5.08,7.62,10.16,MVS,582540.3131102334,2822209.879278266
L16_5946_2022,L16_5946,2022-8,ABU_SAXA,4,6.666666666666667,2.54,2.54,12.7,MVS,582107.407151802,2819061.986889255
M82_4875_2018,M82_4875,2018-7,ABU_SAXA,5,8.333333333333332,5.08,5.08,7.62,MVS,567698.0534497267,2810945.8252288587
L06_5962_2022,L06_5962,2022-8,ABU_SAXA,5,8.333333333333332,2.54,7.62,10.16,MVS,579579.643142127,2812750.8034823807
L08_5960_2022,L08_5960,2022-8,ABU_SAXA,5,8.333333333333332,2.54,7.62,10.16,MVS,580048.1816059472,2813441.322115382
L01_4920_2018,L01_4920,2018-8,ABU_SAXA,2,3.3333333333333335,5.08,6.35,7.62,MVS,578483.8986503737,2810098.6473581246
M95_4300_2016,M95_4300,2016-7,ABU_SAXA,3,5,5.08,5.08,7.62,MVS,568499.1989104962,2805308.678561874
L10_4334_2016,L10_4334,2016-7,ABU_SAXA,1,1.6666666666666667,7.62,7.62,7.62,MVS,580423.8360710775,2814521.1280077184
L07_5961_2022,L07_5961,2022-8,ABU_SAXA,2,3.3333333333333335,2.54,3.81,5.08,MVS,579950.6720132653,2813266.8696261304
L02_5966_2022,L02_5966,2022-8,ABU_SAXA,1,1.6666666666666667,7.62,7.62,7.62,MVS,578939.7689558765,2810403.6530716624
L13_4240_2016,L13_4240,2016-4,ABU_SAXA,2,3.3333333333333335,10.16,10.16,10.16,MVS,581375.2456655845,2820777.4171482283
L09_4912_2018,L09_4912,2018-8,ABU_SAXA,7,11.666666666666666,2.54,5.08,7.62,MVS,580241.4917044234,2813906.5026013465
