LIFE_STAGE,SPECIES_CODE,SOURCE,x,y,PRES,PRES2
SUBADULT,SCA_COER,MVS,563052.0903133075,2797922.2636091653,0,ABSENCE
SUBADULT,SCA_COER,MVS,563053.1694355797,2797906.765098533,0,ABSENCE
SUBADULT,SCA_COER,MVS,563055.1518007067,2797913.4187382953,0,ABSENCE
SUBADULT,SCA_COER,MVS,563055.2449166921,2797893.486035707,0,ABSENCE
SUBADULT,SCA_COER,MVS,563055.2552628743,2797891.2712910045,0,ABSENCE
SUBADULT,SCA_COER,MVS,563280.2672483404,2800357.393759675,0,ABSENCE
SUBADULT,SCA_COER,MVS,563317.8932511726,2800275.6227582586,0,ABSENCE
SUBADULT,SCA_COER,MVS,563318.738582564,2800309.956138447,0,ABSENCE
SUBADULT,SCA_COER,MVS,563318.7905808955,2800298.8823789377,0,ABSENCE
SUBADULT,SCA_COER,MVS,563318.795780718,2800297.775002996,0,ABSENCE
SUBADULT,SCA_COER,MVS,563319.8179043632,2800294.457601468,0,ABSENCE
SUBADULT,SCA_COER,MVS,563873.0421451194,2801011.3410257,0,ABSENCE
SUBADULT,SCA_COER,MVS,563873.1313415724,2800992.5156058823,0,ABSENCE
SUBADULT,SCA_COER,MVS,563876.0405712903,2801015.7848429526,0,ABSENCE
SUBADULT,SCA_COER,MVS,563876.0877953143,2801005.8184440816,0,ABSENCE
SUBADULT,SCA_COER,MVS,563876.135019181,2800995.8520453307,0,ABSENCE
SUBADULT,SCA_COER,MVS,563879.0967164998,2801008.0475066686,0,ABSENCE
SUBADULT,SCA_COER,MVS,564593.4373168582,2801064.6067642528,0,ABSENCE
SUBADULT,SCA_COER,MVS,564595.4396416455,2801066.831167083,0,ABSENCE
SUBADULT,SCA_COER,MVS,564595.4555606241,2801063.5090309726,0,ABSENCE
SUBADULT,SCA_COER,MVS,564595.519236362,2801050.2204866633,0,ABSENCE
SUBADULT,SCA_COER,MVS,564598.4961933157,2801059.0939848535,0,ABSENCE
SUBADULT,SCA_COER,MVS,564608.5821143213,2801054.7127038143,0,ABSENCE
SUBADULT,SCA_COER,MVS,565717.351109386,2800721.2060134793,0,ABSENCE
SUBADULT,SCA_COER,MVS,565720.3813938806,2800719.0059722075,0,ABSENCE
SUBADULT,SCA_COER,MVS,565720.3975877936,2800715.683832847,0,ABSENCE
SUBADULT,SCA_COER,MVS,565721.3662979869,2800723.4403976304,0,ABSENCE
SUBADULT,SCA_COER,MVS,565723.4602632527,2800706.8395135496,0,ABSENCE
SUBADULT,SCA_COER,MVS,565727.3674841487,2800731.2214954165,0,ABSENCE
SUBADULT,SCA_COER,MVS,565739.4940256373,2800721.3139634538,0,ABSENCE
SUBADULT,SCA_COER,MVS,566108.19001533,2801684.3465666426,0,ABSENCE
SUBADULT,SCA_COER,MVS,566109.2018722853,2801683.244121802,0,ABSENCE
SUBADULT,SCA_COER,MVS,566109.2398965807,2801675.4924504333,0,ABSENCE
SUBADULT,SCA_COER,MVS,566109.2616247053,2801671.0629239692,0,ABSENCE
SUBADULT,SCA_COER,MVS,566111.1821289395,2801689.898285423,0,ABSENCE
SUBADULT,SCA_COER,MVS,566114.0655899323,2801717.5976383095,0,ABSENCE
SUBADULT,SCA_COER,MVS,566118.1347424481,2801708.758334436,0,ABSENCE
SUBADULT,SCA_COER,MVS,566294.4079380824,2819403.994488604,0,ABSENCE
SUBADULT,SCA_COER,MVS,566296.3906995499,2819409.541477464,0,ABSENCE
SUBADULT,SCA_COER,MVS,566299.2545664376,2817410.641582498,0,ABSENCE
SUBADULT,SCA_COER,MVS,566300.2598141497,2817410.646559465,0,ABSENCE
SUBADULT,SCA_COER,MVS,566301.1554042175,2817432.799599032,0,ABSENCE
SUBADULT,SCA_COER,MVS,566303.2042777531,2817425.05773143,0,ABSENCE
SUBADULT,SCA_COER,MVS,566303.2262099555,2817420.628118908,0,ABSENCE
SUBADULT,SCA_COER,MVS,566303.9473056835,2818289.964925524,0,ABSENCE
SUBADULT,SCA_COER,MVS,566304.1875918225,2817429.4923212696,0,ABSENCE
SUBADULT,SCA_COER,MVS,566304.2479063045,2817417.31088681,0,ABSENCE
SUBADULT,SCA_COER,MVS,566304.5004836821,2820409.5942913173,0,ABSENCE
SUBADULT,SCA_COER,MVS,566305.3926766019,2819418.4455471756,0,ABSENCE
SUBADULT,SCA_COER,MVS,566305.4365779925,2819409.5863005724,0,ABSENCE
SUBADULT,SCA_COER,MVS,566305.4585286394,2819405.1566773076,0,ABSENCE
SUBADULT,SCA_COER,MVS,566306.7021406959,2817936.7080067797,0,ABSENCE
SUBADULT,SCA_COER,MVS,566306.8611899137,2817904.5932963397,0,ABSENCE
SUBADULT,SCA_COER,MVS,566307.4742123503,2819404.0592330014,0,ABSENCE
SUBADULT,SCA_COER,MVS,566308.7070725028,2817937.8253674754,0,ABSENCE
SUBADULT,SCA_COER,MVS,566309.2522082427,2817421.7653868697,0,ABSENCE
SUBADULT,SCA_COER,MVS,566309.324279558,2818219.1159472875,0,ABSENCE
SUBADULT,SCA_COER,MVS,566309.7232501189,2817935.6155383517,0,ABSENCE
SUBADULT,SCA_COER,MVS,566310.5086572684,2820414.0538149714,0,ABSENCE
SUBADULT,SCA_COER,MVS,566311.0000344771,2818286.677565549,0,ABSENCE
SUBADULT,SCA_COER,MVS,566311.290769567,2818227.9851392647,0,ABSENCE
SUBADULT,SCA_COER,MVS,566311.5110689308,2819400.756939468,0,ABSENCE
SUBADULT,SCA_COER,MVS,566311.9613307343,2818295.541779371,0,ABSENCE
SUBADULT,SCA_COER,MVS,566312.334355064,2818220.2382888976,0,ABSENCE
SUBADULT,SCA_COER,MVS,566312.7937247908,2817924.5564361378,0,ABSENCE
SUBADULT,SCA_COER,MVS,566312.9665120278,2818295.5467587495,0,ABSENCE
SUBADULT,SCA_COER,MVS,566313.3779416289,2818212.49143866,0,ABSENCE
SUBADULT,SCA_COER,MVS,566313.7660236349,2817931.2058379347,0,ABSENCE
SUBADULT,SCA_COER,MVS,566315.5557309915,2820409.64910076,0,ABSENCE
SUBADULT,SCA_COER,MVS,566315.8203226661,2817922.356565205,0,ABSENCE
SUBADULT,SCA_COER,MVS,566316.3989901305,2818211.3989727157,0,ABSENCE
SUBADULT,SCA_COER,MVS,566317.0036956135,2818292.244464038,0,ABSENCE
SUBADULT,SCA_COER,MVS,566317.0091817428,2818291.1370597132,0,ABSENCE
SUBADULT,SCA_COER,MVS,566317.5767577724,2820407.4442527206,0,ABSENCE
SUBADULT,SCA_COER,MVS,566319.5538566747,2820414.0986625105,0,ABSENCE
SUBADULT,SCA_COER,MVS,566319.5648388221,2820411.8838481186,0,ABSENCE
SUBADULT,SCA_COER,MVS,566321.392010308,2818218.068296695,0,ABSENCE
SUBADULT,SCA_COER,MVS,566322.8019299487,2817933.465458573,0,ABSENCE
SUBADULT,SCA_COER,MVS,566323.9466920842,2818311.1051977915,0,ABSENCE
