MIRSite,ZONE_CODE,COUNT,AREA,PCT25,PCT50,PCT75
EDR,1,15485.000000000000000,387124.999999999708962,0.919830024242401,0.975866019725800,0.996895015239716
Looe,2,20988.000000000000000,524699.999999999650754,0.168161496520042,0.922501504421234,0.989244237542152
NFH,3,61742.000000000000000,1543549.999999998835847,0.147229250520468,0.565472990274429,0.601476252079010
Sombrero,4,9175.000000000000000,229374.999999999825377,0.699461996555328,0.874502003192902,0.930307507514954
Horseshoe,5,5932.000000000000000,148299.999999999883585,0.108772749081254,0.715122491121292,0.954642489552498
Cheeca,6,74647.000000000000000,1866174.999999998603016,0.134606502950191,0.154915004968643,0.705043017864227
Carysfort South,7,40110.000000000000000,1002749.999999999301508,0.174008749425411,0.301129505038261,0.975428491830826
Carysfort North,8,60878.000000000000000,1521949.999999998835847,0.194200497120619,0.782777994871140,0.969401761889458
