Site,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT25,PCT75
EasternDryRocks,8232.000000000000000,205799.999999999854481,0.265419989824295,0.994207024574280,0.728787034749985,0.835086875615971,0.143149673792595,6874.435160070673192,0.891471505165100,0.747497528791428,0.950404733419418
NewfoundHarbor,4381.000000000000000,109524.999999999927240,0.113590002059937,0.994171977043152,0.880581974983215,0.633200148157513,0.235991617495917,2774.049849078063289,0.601424992084503,0.432323008775711,0.861186981201172
Looe,12209.000000000000000,305224.999999999767169,0.137176007032394,0.953260004520416,0.816083997488022,0.741222629576705,0.220467163982592,9049.587084501998106,0.824427008628845,0.653828978538513,0.914780974388123
CarysfortNorth,18375.000000000000000,459374.999999999650754,0.036997199058533,0.955547988414764,0.918550789356232,0.618947299088750,0.233966847716012,11373.156620755780750,0.726279973983765,0.581950008869171,0.769784510135651
CarysfortSouth,13875.000000000000000,346874.999999999767169,0.052600700408220,0.978073000907898,0.925472300499678,0.678111872291779,0.181417317553986,9408.802228048429242,0.742681980133057,0.634440988302231,0.781827509403229
Horseshoe,2155.000000000000000,53874.999999999963620,0.044816400855780,0.968227982521057,0.923411581665277,0.773126440879018,0.192895359751837,1666.087480094283819,0.853801012039185,0.710042506456375,0.901080489158630
Cheeca,6566.000000000000000,164149.999999999883585,0.105033002793789,0.995522022247314,0.890489019453526,0.783874914289528,0.233878115450256,5146.922687225038317,0.897858500480652,0.640202268958092,0.966572001576424
Sombrero,3799.000000000000000,94974.999999999927240,0.233575001358986,0.943917989730835,0.710342988371849,0.756970346111254,0.178704407693640,2875.730344876652453,0.800146996974945,0.635389506816864,0.917496979236603
