Site,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT25,PCT75
EasternDryRocks,8232.000000000000000,205799.999999999854481,0.336681008338928,0.972064018249512,0.635383009910583,0.886130147572856,0.053344519239309,7294.623374819753735,0.900821000337601,0.864480733871460,0.923605009913445
NewfoundHarbor,4381.000000000000000,109524.999999999927240,0.187307998538017,0.991321027278900,0.804013028740883,0.789299044968112,0.175130772700795,3457.919116005300111,0.836875021457672,0.657204985618591,0.944728016853333
Looe,12209.000000000000000,305224.999999999767169,0.104310996830463,0.913511991500854,0.809200994670391,0.771282366289069,0.204323249377088,9416.586410023246572,0.871840000152588,0.733959019184113,0.902976989746094
CarysfortNorth,18375.000000000000000,459374.999999999650754,0.032671499997377,0.899393022060394,0.866721522063017,0.663700952681756,0.223809175810461,12195.505005527260437,0.774362027645111,0.707607001066208,0.785366505384445
CarysfortSouth,13875.000000000000000,346874.999999999767169,0.064366303384304,0.895031988620758,0.830665685236454,0.730427981021705,0.144339935092210,10134.688236676151064,0.781271994113922,0.745166003704071,0.789981007575989
Horseshoe,2155.000000000000000,53874.999999999963620,0.082100600004196,0.905094981193542,0.822994381189346,0.799035240730526,0.153086988458547,1721.920943774282932,0.868182003498077,0.753519475460052,0.887207478284836
Cheeca,6566.000000000000000,164149.999999999883585,0.108783997595310,0.980112016201019,0.871328018605709,0.810007406721481,0.212569734621171,5318.508632533245873,0.933470487594604,0.690797999501228,0.967987254261971
Sombrero,3799.000000000000000,94974.999999999927240,0.238065004348755,0.901997983455658,0.663932979106903,0.814815720984043,0.107671992178122,3095.484924018379388,0.851849019527435,0.783724516630173,0.892214506864548
