SOURCE,ID_SURV,ID_SITE,x,y,PRES_COEL,PRES_COER,PRES_GUAC,PRES_HERB,PRES_GRIS,PRES_SCIU,PRES_INVERT
RVC,1152U_2_2014,1152U_2,576247.5815869046,2788246.1605051435,0,0,0,0,1,0,1
RVC,1152U_1_2014,1152U_1,576239.3351292475,2788279.336526778,0,0,1,1,1,1,1
RVC,1159U_2_2014,1159U_2,574138.2497888542,2779884.638047867,0,0,0,0,1,1,1
RVC,1160U_2_2014,1160U_2,575159.2418134252,2781198.083325951,0,0,0,0,1,1,1
RVC,1171U_2_2014,1171U_2,560388.292101021,2764810.8375566048,0,0,1,1,1,1,1
RVC,1171U_1_2014,1171U_1,560360.9521594265,2764831.756486873,0,1,0,1,1,1,1
RVC,1187U_2_2014,1187U_2,579074.7451591505,2789769.564495718,0,0,0,0,1,1,1
RVC,1187U_1_2014,1187U_1,579068.8886348756,2789737.4150258848,0,0,1,1,1,1,1
RVC,1190U_2_2014,1190U_2,579681.302678342,2789920.4071968272,1,0,0,1,1,1,1
RVC,1190U_1_2014,1190U_1,579678.1764496443,2789938.1076050443,1,0,0,1,1,0,1
RVC,1191U_1_2014,1191U_1,578412.0428479013,2789048.1024277573,0,0,0,0,1,1,1
RVC,1201U_1_2014,1201U_1,574845.1441597805,2781492.02596324,0,0,0,0,1,1,1
RVC,1205U_1_2014,1205U_1,570841.426892999,2778796.217838436,1,1,0,1,1,1,1
RVC,1210U_1_2014,1210U_1,565488.5813537025,2768832.9747063364,0,1,1,1,1,1,1
RVC,1210U_2_2014,1210U_2,565518.5923138185,2768886.2720140037,0,0,0,0,1,1,1
RVC,1211U_2_2014,1211U_2,565980.6802181597,2769091.1438537408,0,0,0,0,1,1,1
RVC,1225U_2_2014,1225U_2,489942.4097640545,2727669.916890709,0,0,1,1,1,1,1
RVC,1228U_2_2014,1228U_2,490822.3467980061,2728662.5001943368,0,0,0,0,1,0,1
RVC,1229U_2_2014,1229U_2,538690.6948398232,2753657.031887584,0,0,0,0,1,1,1
RVC,1230U_1_2014,1230U_1,538785.623612184,2753659.514028842,1,0,1,1,1,1,1
RVC,1230U_2_2014,1230U_2,538819.9836994377,2753651.8599630706,0,0,0,0,1,1,1
RVC,1233U_2_2014,1233U_2,552831.5483799821,2763796.260824251,0,0,0,0,1,0,1
