Site,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT25,PCT75
EasternDryRocks,8232.000000000000000,205799.999999999854481,0.375146001577377,0.998664021492004,0.623518019914627,0.957313416223426,0.058011709312567,7880.604042351241333,0.974263995885849,0.953087002038956,0.988127991557121
NewfoundHarbor,4381.000000000000000,109524.999999999927240,0.091789200901985,0.997368991374969,0.905579790472984,0.679597449794845,0.243129402230448,2977.316427551214474,0.717095971107483,0.470407992601395,0.902553021907806
Looe,12209.000000000000000,305224.999999999767169,0.215845003724098,0.999764978885651,0.783919975161552,0.891324405484796,0.201366989870920,10882.179666563875799,0.993098020553589,0.908445000648499,0.998633980751038
CarysfortNorth,18375.000000000000000,459374.999999999650754,0.056983500719070,0.999787986278534,0.942804485559464,0.831397652342208,0.284550953650118,15276.931861788078095,0.974245011806488,0.900081485509872,0.987648010253906
CarysfortSouth,13875.000000000000000,346874.999999999767169,0.076004199683666,0.999852001667023,0.923847801983356,0.907036726824335,0.174916663951190,12585.134584687644747,0.976091980934143,0.939954519271851,0.988881498575211
Horseshoe,2155.000000000000000,53874.999999999963620,0.077015198767185,0.999451994895935,0.922436796128750,0.914115221044719,0.156633355273395,1969.918301351368427,0.980746984481812,0.914716005325317,0.990388512611389
Cheeca,6566.000000000000000,164149.999999999883585,0.077244803309441,0.999486029148102,0.922241225838661,0.785242481691071,0.264283008353410,5155.902134783572365,0.928542494773865,0.612655237317085,0.991065487265587
Sombrero,3799.000000000000000,94974.999999999927240,0.312299013137817,0.999270975589752,0.686971962451935,0.893659269795604,0.152822027220770,3395.011565953499485,0.971801996231079,0.868913501501083,0.994879007339478
