"Variables","VIF"
"Habitat",1.12013235167057
"Mangrove_Dist",1.44234839787042
"Depth",1.87427640252648
"Slope",1.52948652142384
"Curvature",1.02879768182379
"ACR_Rugosity",1.37535145344515
"BPI_Broad",1.21847097962222
"BPI_Fine",1.12410541564609
"Sum_Temp",1.52010288312419
"Sum_DO",2.26922728061495
"Win_Temp",1.71995120093752
"Win_Sal",2.350794711271
"Win_DO",1.74242294751835
