OBJECTID,NAME,ZONE_TYPE,REGULATION,AREA,MIN_ALL,MAX_ALL,RANGE_ALL,MEAN_ALL,STD_ALL,SUM_ALL,MEDIAN_ALL,PCT90_ALL,PCT10_ALL,MIN_INV,MAX_INV,RANGE_INV,MEAN_INV,STD_INV,SUM_INV,MEDIAN_INV,PCT90_INV,PCT10_INV,MIN_SCA,MAX_SCA,RANGE_SCA,MEAN_SCA,STD_SCA,SUM_SCA,MEDIAN_SCA,PCT90_SCA,PCT10_SCA
75,Area To Be Avoided,ATBA,Tankers and Vessels Greater than 50 m Prohibited,35009900,0.04858176,0.989973783,0.941392023,0.397574953,0.26413456,556762.3739,0.290390998,0.834453613,0.141696714,0.034843098,0.987862468,0.953019369,0.410064338,0.238516633,574252.4586,0.332084507,0.796374768,0.159068502,0.051995564,0.999340653,0.947345089,0.389248696,0.284784703,545102.3174,0.259033844,0.871550322,0.127405345
76,Looe Key Existing Management Area,EMA,,13104550,0.05733832,0.992162228,0.934823908,0.309826894,0.249018239,162405.6811,0.191318832,0.781216162,0.10772272,0.041036699,0.986073971,0.945037272,0.319890158,0.226959082,167680.663,0.232442498,0.729742408,0.114123283,0.060683534,0.998112679,0.937429145,0.303118052,0.266808092,158889.0265,0.164655164,0.817717367,0.101041134
77,Key Largo Existing Management Area,EMA,,173924500,0.033897061,0.978941023,0.945043962,0.26679432,0.242205503,1856082.748,0.143561155,0.716672421,0.08367072,0.018280149,0.961408019,0.943127871,0.24760551,0.209697306,1722586.582,0.154752493,0.62293303,0.075149655,0.041014999,0.997997642,0.956982642,0.27958686,0.266458278,1945080.192,0.136006452,0.779702699,0.086384092
78,Great White Heron National Wildlife Refuge,EMA,,705727100,0.03294488,0.971431792,0.938486911,0.215059037,0.143020571,6070919.612,0.173990995,0.409681171,0.07801003,0.02107925,1,0.97892075,0.284689672,0.195906203,8036528.656,0.232477747,0.567710519,0.091513016,0.027799267,0.971427023,0.943627756,0.168638613,0.12659843,4760513.582,0.11285913,0.335510343,0.064233601
79,Key West National Wildlife Refuge,EMA,,588852250,0.035020702,0.991699576,0.956678875,0.292917919,0.191301351,6899415.016,0.233045816,0.586822212,0.106092401,0.027609149,1,0.972390851,0.350860354,0.199110369,8264196.353,0.304719985,0.658620477,0.133616507,0.033199299,0.999476016,0.966276716,0.254289628,0.200673546,5989560.791,0.167861834,0.56654197,0.084027633
80,John Pennekamp State Park,SP,,249749275,0.019848876,0.982226431,0.962377556,0.14735352,0.117432055,1472057.396,0.099312641,0.279851198,0.071748383,0.0280491,0.999999523,0.971950423,0.1851347,0.167436923,1849490.289,0.1134445,0.372924507,0.082085654,0.007985556,0.997957647,0.98997209,0.122166067,0.10510403,1220435.467,0.091325231,0.234226003,0.053443931
81,Eastern Dry Rocks,M:IR,,205800,0.420157194,0.983039796,0.562882602,0.900079642,0.067161988,7409.455613,0.916851699,0.967430484,0.810250062,0.301050484,0.981821001,0.680770516,0.860608512,0.094184711,7084.52927,0.895478785,0.950124729,0.717135578,0.499561667,0.994423985,0.494862318,0.926393728,0.053393019,7626.073173,0.933998674,0.981515884,0.869967538
82,Newfound Harbor,M:IR,,109525,0.138363779,0.992954791,0.854591012,0.725501819,0.202593758,3178.423468,0.758629203,0.973737836,0.442652196,0.150449008,0.99270153,0.842252523,0.711249597,0.201670276,3115.984484,0.721913993,0.980257034,0.434906006,0.130306974,0.995555639,0.865248665,0.735003301,0.207237245,3220.04946,0.778042018,0.972692668,0.442772686
83,Looe,M:IR,,305225,0.125269726,0.964245617,0.838975891,0.786071756,0.232884667,9597.150067,0.891023219,0.950730371,0.316254491,0.120798007,0.929388523,0.808590516,0.756252498,0.210905024,9233.086748,0.847154975,0.916247904,0.36095202,0.127645299,0.994210005,0.866564706,0.805951261,0.249745474,9839.858947,0.921320319,0.975502741,0.28847999
84,Carysfort North,M:IR,,459375,0.061190039,0.958759606,0.897569567,0.701502492,0.249636971,12890.1083,0.817949176,0.864882565,0.202581847,0.040869199,0.925865531,0.884996332,0.641324126,0.227692659,11784.33082,0.750423014,0.792317307,0.1972408,0.065137096,0.984086692,0.918949597,0.741621403,0.265753204,13627.29329,0.864392638,0.916584873,0.204047066
85,Carysfort South,M:IR,,346875,0.067068577,0.956409812,0.889341235,0.766313556,0.178647825,10632.60059,0.829796791,0.876082504,0.406524676,0.061870798,0.934594035,0.872723237,0.704269926,0.160967112,9771.745227,0.762499988,0.816643715,0.4204813,0.070150137,0.985001028,0.914850891,0.807675976,0.194077996,11206.50416,0.876815319,0.923580074,0.401214063
86,Horseshoe,M:IR,,53875,0.081090398,0.968652606,0.887562208,0.839182243,0.168587074,1808.437733,0.914503574,0.946809912,0.661979926,0.063458502,0.935551524,0.872093022,0.786080841,0.171401827,1694.004212,0.861393452,0.91273489,0.578194082,0.092845,0.992530644,0.899685644,0.874583177,0.168819358,1884.726746,0.947215021,0.973156679,0.718358684
87,Cheeca,M:IR,,164150,0.092104644,0.992677212,0.900572568,0.787932032,0.229975931,5173.561724,0.900690019,0.978305995,0.456694707,0.110208005,0.987705469,0.877497464,0.796941161,0.221045577,5232.715661,0.914698243,0.980529755,0.450307503,0.079202063,0.997384369,0.918182306,0.781925946,0.23975949,5134.125764,0.889374673,0.979742676,0.399458826
88,Sombrero,M:IR,,94975,0.3343018,0.959928632,0.625626832,0.824806101,0.132470246,3133.438378,0.868224382,0.946156883,0.612550461,0.237096012,0.921589017,0.684493005,0.785893034,0.138208721,2985.607637,0.82287699,0.912098098,0.574192011,0.391855329,0.992027998,0.600172669,0.850748146,0.130168989,3231.992207,0.898661017,0.96989218,0.640353918
89,Inside any Zone,IN,,2339060750,0.019848876,0.995188415,0.975339539,0.253333406,0.198516099,23702489.08,0.181980416,0.565998316,0.081254639,0.0181497,1,0.9818503,0.299627568,0.210266713,28033883.39,0.235121503,0.635465503,0.094353899,0.00593236,0.999730349,0.993797989,0.222470631,0.207578581,20814892.87,0.13361913,0.54723767,0.067377165
90,Outside all Zones,OUT,,2800663075,0.00788046,0.996903777,0.989023317,0.189358106,0.150284895,21213130.25,0.137011379,0.382605851,0.053400639,0.0154108,1,0.9845892,0.244231558,0.185459763,27360412.3,0.188547,0.490934998,0.082614698,0.000960398,0.999891341,0.998930942,0.152775805,0.142903119,17114942.21,0.102832936,0.334373653,0.017595701
